Project Title,Base Link,Publication Title,Authors,Published In,DOI,Link
New system-driven bioremediation of polluted habitats and environment,https://cordis.europa.eu/project/id/101060625,Analyzing microbial communities and their biodegradation of multiple pharmaceuticals in membrane bioreactors,,,,https://doi.org/10.1007/s00253-023-12677-z
New system-driven bioremediation of polluted habitats and environment,https://cordis.europa.eu/project/id/101060625,Pollutant profile complexity governs wastewater removal of recalcitrant pharmaceuticals,,,,https://doi.org/10.1093/ismejo/wrae033
Scalable Full-cycle Marine Litter Remediation in the Mediterranean: Robotic and Participatory Solutions,https://cordis.europa.eu/project/id/101093822,Near-Optimal Control of Nonlinear Systems With Hybrid Inputs and Dwell-Time Constraints,,,,https://doi.org/10.48550/arxiv.2305.08760
TWINNING MICROPLASTIC-FREE ENVIRONMENT,https://cordis.europa.eu/project/id/101079267,Screening of Native Trichoderma Species for Nickel and Copper Bioremediation Potential Determined by FTIR and XRF,,,,https://doi.org/10.3390/microorganisms11030815
TWINNING MICROPLASTIC-FREE ENVIRONMENT,https://cordis.europa.eu/project/id/101079267,Prediction of the Impact of Land Use and Soil Type on Concentrations of Heavy Metals and Phthalates in Soil Based on Model Simulation,,,,https://doi.org/10.3390/toxics11030269
TWINNING MICROPLASTIC-FREE ENVIRONMENT,https://cordis.europa.eu/project/id/101079267,“Waste to energy” as a driver towards a sustainable and circular energy future for the Balkan countries,,,,https://doi.org/10.1186/s13705-023-00435-y
TWINNING MICROPLASTIC-FREE ENVIRONMENT,https://cordis.europa.eu/project/id/101079267,A Complete Guide to Extraction Methods of Microplastics from Complex Environmental Matrices,,,,https://doi.org/10.3390/molecules28155710
TWINNING MICROPLASTIC-FREE ENVIRONMENT,https://cordis.europa.eu/project/id/101079267,Human Milk—The Biofluid That Nourishes Infants from the First Day of Life,,,,https://doi.org/10.3390/foods13091298
TWINNING MICROPLASTIC-FREE ENVIRONMENT,https://cordis.europa.eu/project/id/101079267,Heavy metal concentrations in the soil near illegal landfills in the vicinity of agricultural areas—artificial neural network approach,,,,https://doi.org/10.1007/s11368-023-03637-1
Impact of microplastics originating from formula preparation on protein digestion in infant digestion models,https://cordis.europa.eu/project/id/101090313,"Nano- and Microplastics Migration from Plastic Food Packaging into Dairy Products: Impact on Nutrient Digestion, Absorption, and Metabolism",,,,https://doi.org/10.3390/foods12163043
